location,target,type,quantile,value,forecast_date,target_end_date
HR,2 wk ahead inc case,point,NA,10109.973491020059,2021-04-26,2021-05-08
HR,2 wk ahead inc case,quantile,0.010,5406.110423531304,2021-04-26,2021-05-08
HR,2 wk ahead inc case,quantile,0.025,6146.936705609258,2021-04-26,2021-05-08
HR,2 wk ahead inc case,quantile,0.050,6784.088178002541,2021-04-26,2021-05-08
HR,2 wk ahead inc case,quantile,0.100,7518.683020013826,2021-04-26,2021-05-08
HR,2 wk ahead inc case,quantile,0.150,8014.3106724220015,2021-04-26,2021-05-08
HR,2 wk ahead inc case,quantile,0.200,8408.219818839705,2021-04-26,2021-05-08
HR,2 wk ahead inc case,quantile,0.250,8746.158792130633,2021-04-26,2021-05-08
HR,2 wk ahead inc case,quantile,0.300,9049.638434588935,2021-04-26,2021-05-08
HR,2 wk ahead inc case,quantile,0.350,9330.85755083446,2021-04-26,2021-05-08
HR,2 wk ahead inc case,quantile,0.400,9597.706991674127,2021-04-26,2021-05-08
HR,2 wk ahead inc case,quantile,0.450,9855.886913909924,2021-04-26,2021-05-08
HR,2 wk ahead inc case,quantile,0.500,10109.973491020059,2021-04-26,2021-05-08
HR,2 wk ahead inc case,quantile,0.550,10364.060068130195,2021-04-26,2021-05-08
HR,2 wk ahead inc case,quantile,0.600,10622.23999036599,2021-04-26,2021-05-08
HR,2 wk ahead inc case,quantile,0.650,10889.089431205657,2021-04-26,2021-05-08
HR,2 wk ahead inc case,quantile,0.700,11170.308547451183,2021-04-26,2021-05-08
HR,2 wk ahead inc case,quantile,0.750,11473.788189909485,2021-04-26,2021-05-08
HR,2 wk ahead inc case,quantile,0.800,11811.727163200412,2021-04-26,2021-05-08
HR,2 wk ahead inc case,quantile,0.850,12205.636309618116,2021-04-26,2021-05-08
HR,2 wk ahead inc case,quantile,0.900,12701.263962026293,2021-04-26,2021-05-08
HR,2 wk ahead inc case,quantile,0.950,13435.858804037574,2021-04-26,2021-05-08
HR,2 wk ahead inc case,quantile,0.975,14073.010276430858,2021-04-26,2021-05-08
HR,2 wk ahead inc case,quantile,0.990,14813.836558508814,2021-04-26,2021-05-08
HR,3 wk ahead inc case,point,NA,7279.905139807663,2021-04-26,2021-05-15
HR,3 wk ahead inc case,quantile,0.010,-341.11119053708353,2021-04-26,2021-05-15
HR,3 wk ahead inc case,quantile,0.025,859.1467916066904,2021-04-26,2021-05-15
HR,3 wk ahead inc case,quantile,0.050,1891.434871923776,2021-04-26,2021-05-15
HR,3 wk ahead inc case,quantile,0.100,3081.5969167861504,2021-04-26,2021-05-15
HR,3 wk ahead inc case,quantile,0.150,3884.5935981478096,2021-04-26,2021-05-15
HR,3 wk ahead inc case,quantile,0.200,4522.789904981237,2021-04-26,2021-05-15
HR,3 wk ahead inc case,quantile,0.250,5070.305510167644,2021-04-26,2021-05-15
HR,3 wk ahead inc case,quantile,0.300,5561.991445306195,2021-04-26,2021-05-15
HR,3 wk ahead inc case,quantile,0.350,6017.611740064571,2021-04-26,2021-05-15
HR,3 wk ahead inc case,quantile,0.400,6449.950844584502,2021-04-26,2021-05-15
HR,3 wk ahead inc case,quantile,0.450,6868.243931627229,2021-04-26,2021-05-15
HR,3 wk ahead inc case,quantile,0.500,7279.905139807663,2021-04-26,2021-05-15
HR,3 wk ahead inc case,quantile,0.550,7691.566347988096,2021-04-26,2021-05-15
HR,3 wk ahead inc case,quantile,0.600,8109.859435030823,2021-04-26,2021-05-15
HR,3 wk ahead inc case,quantile,0.650,8542.198539550755,2021-04-26,2021-05-15
HR,3 wk ahead inc case,quantile,0.700,8997.81883430913,2021-04-26,2021-05-15
HR,3 wk ahead inc case,quantile,0.750,9489.504769447682,2021-04-26,2021-05-15
HR,3 wk ahead inc case,quantile,0.800,10037.020374634089,2021-04-26,2021-05-15
HR,3 wk ahead inc case,quantile,0.850,10675.216681467515,2021-04-26,2021-05-15
HR,3 wk ahead inc case,quantile,0.900,11478.213362829174,2021-04-26,2021-05-15
HR,3 wk ahead inc case,quantile,0.950,12668.375407691547,2021-04-26,2021-05-15
HR,3 wk ahead inc case,quantile,0.975,13700.663488008633,2021-04-26,2021-05-15
HR,3 wk ahead inc case,quantile,0.990,14900.921470152409,2021-04-26,2021-05-15
HR,4 wk ahead inc case,point,NA,4949.247912061222,2021-04-26,2021-05-22
HR,4 wk ahead inc case,quantile,0.010,-4261.689974598534,2021-04-26,2021-05-22
HR,4 wk ahead inc case,quantile,0.025,-2811.0302144988254,2021-04-26,2021-05-22
HR,4 wk ahead inc case,quantile,0.050,-1563.3827910075024,2021-04-26,2021-05-22
HR,4 wk ahead inc case,quantile,0.100,-124.92521591510103,2021-04-26,2021-05-22
HR,4 wk ahead inc case,quantile,0.150,845.5952809070823,2021-04-26,2021-05-22
HR,4 wk ahead inc case,quantile,0.200,1616.9342056555133,2021-04-26,2021-05-22
HR,4 wk ahead inc case,quantile,0.250,2278.6743217695,2021-04-26,2021-05-22
HR,4 wk ahead inc case,quantile,0.300,2872.9373979779375,2021-04-26,2021-05-22
HR,4 wk ahead inc case,quantile,0.350,3423.6107009875336,2021-04-26,2021-05-22
HR,4 wk ahead inc case,quantile,0.400,3946.14581508393,2021-04-26,2021-05-22
HR,4 wk ahead inc case,quantile,0.450,4451.704585221802,2021-04-26,2021-05-22
HR,4 wk ahead inc case,quantile,0.500,4949.247912061222,2021-04-26,2021-05-22
HR,4 wk ahead inc case,quantile,0.550,5446.791238900644,2021-04-26,2021-05-22
HR,4 wk ahead inc case,quantile,0.600,5952.350009038515,2021-04-26,2021-05-22
HR,4 wk ahead inc case,quantile,0.650,6474.885123134911,2021-04-26,2021-05-22
HR,4 wk ahead inc case,quantile,0.700,7025.5584261445065,2021-04-26,2021-05-22
HR,4 wk ahead inc case,quantile,0.750,7619.821502352945,2021-04-26,2021-05-22
HR,4 wk ahead inc case,quantile,0.800,8281.561618466932,2021-04-26,2021-05-22
HR,4 wk ahead inc case,quantile,0.850,9052.900543215363,2021-04-26,2021-05-22
HR,4 wk ahead inc case,quantile,0.900,10023.421040037545,2021-04-26,2021-05-22
HR,4 wk ahead inc case,quantile,0.950,11461.878615129945,2021-04-26,2021-05-22
HR,4 wk ahead inc case,quantile,0.975,12709.526038621269,2021-04-26,2021-05-22
HR,4 wk ahead inc case,quantile,0.990,14160.185798720979,2021-04-26,2021-05-22
